Rank,Journal Name,JIF 2024,JIF Quartile,Areas,Publisher,Country,JIF Rank,5-Year JIF,JCI,ISSN,eISSN,Abbreviated Journal,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Without Self-Cites,JCR Year
1,CA-A CANCER JOURNAL FOR CLINICIANS,232.4,Q1,Medicine,WILEY,United States,1/326,353.0,112.16,0007-9235,1542-4863,CA-CANCER J CLIN,71799,6,14,3.7,4.7,232.2,2024
2,NATURE REVIEWS MICROBIOLOGY,103.3,Q1,Immunology and Microbiology; Medicine,NATURE PORTFOLIO,United Kingdom,1/163,99.1,9.86,1740-1526,1740-1534,NAT REV MICROBIOL,61109,0,49,6.7,5.4,102.8,2024
3,NATURE REVIEWS DRUG DISCOVERY,101.8,Q1,"Medicine; Pharmacology, Toxicology and Pharmaceutics",NATURE PORTFOLIO,United Kingdom,1/352,129.8,13.95,1474-1776,1474-1784,NAT REV DRUG DISCOV,52833,4,36,6.5,5.4,101.1,2024
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,90.2,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,1/204,128.7,7.94,1471-0072,1471-0080,NAT REV MOL CELL BIO,73135,0,49,7.1,6.9,89.6,2024
5,Kidney International Supplements,89.6,Q1,Medicine,ELSEVIER,United States,1/133,26.0,5.88,2157-1724,2157-1716,KIDNEY INT SUPPL,3196,9,9,11,5.6,89.6,2024
6,LANCET,88.5,Q1,Medicine,ELSEVIER,United Kingdom,1/332,104.8,23.28,0140-6736,1474-547X,LANCET,347563,198,251,7.8,4.5,87.1,2024
7,Nature Reviews Materials,86.2,Q1,Energy; Materials Science,NATURE PORTFOLIO,United Kingdom,1/460,99.8,4.42,2058-8437,2058-8437,NAT REV MATER,43197,10,60,4.9,5,85.9,2024
8,Nature Reviews Clinical Oncology,82.2,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,2/326,89.9,11.95,1759-4774,1759-4782,NAT REV CLIN ONCOL,33355,3,48,4.6,4.6,81.7,2024
9,NEW ENGLAND JOURNAL OF MEDICINE,78.5,Q1,Medicine,MASSACHUSETTS MEDICAL SOC,United States,2/332,84.9,23.3,0028-4793,1533-4406,NEW ENGL J MED,397323,246,293,8.4,5.3,77.9,2024
10,Nature Reviews Earth & Environment,71.5,Q1,Earth and Planetary Sciences; Environmental Science,NATURE PORTFOLIO,Switzerland,1/374,73.7,5.96,,2662-138X,NAT REV EARTH ENV,14133,3,52,3,7.2,71.1,2024
11,NATURE REVIEWS CANCER,66.8,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United Kingdom,3/326,81.0,9.04,1474-175X,1474-1768,NAT REV CANCER,60054,17,63,9.4,5.4,66.4,2024
12,World Psychiatry,65.8,Q1,Medicine,WILEY,United States,1/288,60.0,12.18,1723-8617,2051-5545,WORLD PSYCHIATRY,13954,21,21,6.3,6.4,60.7,2024
13,ANNALS OF ONCOLOGY,65.4,Q1,Medicine,ELSEVIER,United Kingdom,4/326,46.8,8.38,0923-7534,1569-8041,ANN ONCOL,64093,74,80,6.3,4.3,64.5,2024
14,Living Reviews in Relativity,62.5,Q1,Physics and Astronomy,SPRINGER,Switzerland,1/31,52.4,5.86,2367-3613,1433-8351,LIVING REV RELATIV,5042,0,6,11,13.3,62.5,2024
15,NATURE REVIEWS IMMUNOLOGY,60.9,Q1,Immunology and Microbiology; Medicine,NATURE PORTFOLIO,United Kingdom,1/183,77.6,7.86,1474-1733,1474-1741,NAT REV IMMUNOL,64754,76,124,8.6,6.8,60.5,2024
16,Nature Reviews Disease Primers,60.6,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,3/332,104.8,21.18,2056-676X,2056-676X,NAT REV DIS PRIMERS,37841,4,42,5.8,6.9,60.6,2024
17,MMWR Recommendations and Reports,60.1,Q1,Environmental Science; Health Professions; Medicine; Social Sciences,CENTERS DISEASE CONTROL & PREVENTION,United States,1/419,50.0,10.91,1057-5987,1545-8601,MMWR RECOMM REP,3411,6,6,8,14.9,60.0,2024
